-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 05/01/2023 through 07/31/2023 
Location: Latitude  -3.3679   Longitude 36.7024 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1201.74 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
YEAR,MO,DY,HR,WD50M,T2M,WS50M,PRECTOTCORR,QV2M
2023,5,5,2,130.15,15.37,3.53,0.06,12.39
2023,5,5,3,127.63,15.1,3.4,0.07,12.21
2023,5,5,4,124.26,14.83,3.26,0.07,12.02
2023,5,5,5,121.6,14.73,3.03,0.07,11.9
2023,5,5,6,127.91,16.23,3.18,0.06,12.51
2023,5,5,7,134.85,17.98,4.26,0.01,12.82
2023,5,5,8,132.03,20.41,4.59,0.0,12.45
2023,5,5,9,127.31,22.46,4.46,0.0,12.39
2023,5,5,10,125.56,23.95,4.31,0.0,12.57
2023,5,5,11,127.02,25.02,4.22,0.0,12.7
2023,5,5,12,129.67,25.7,4.22,0.0,12.82
2023,5,5,13,132.77,25.96,4.26,0.0,12.88
2023,5,5,14,135.22,25.86,4.37,0.0,12.94
2023,5,5,15,136.62,25.28,4.7,0.0,13.18
2023,5,5,16,138.44,23.83,5.24,0.0,13.98
2023,5,5,17,139.19,21.01,6.12,0.0,14.4
2023,5,5,18,136.4,19.91,7.0,0.0,13.98
2023,5,5,19,135.39,19.38,7.28,0.0,13.85
2023,5,5,20,135.13,18.8,7.15,0.0,13.85
2023,5,5,21,134.68,18.33,6.83,0.01,13.85
2023,5,5,22,134.7,17.82,6.24,0.01,13.85
2023,5,5,23,136.76,17.26,5.39,0.06,13.85
2023,5,6,0,139.32,17.1,5.2,0.13,13.73
2023,5,6,1,142.59,16.75,4.48,0.14,13.49
2023,5,6,2,143.58,16.4,4.15,0.11,13.24
2023,5,6,3,143.57,16.08,3.89,0.09,12.94
2023,5,6,4,142.31,15.76,3.69,0.07,12.7
2023,5,6,5,138.18,15.57,3.59,0.07,12.57
2023,5,6,6,137.78,16.81,4.1,0.07,12.94
2023,5,6,7,136.24,18.37,5.35,0.11,13.37
2023,5,6,8,133.3,20.3,5.79,0.22,13.67
2023,5,6,9,130.18,22.3,5.72,0.16,14.04
2023,5,6,10,129.4,23.9,5.55,0.07,14.34
2023,5,6,11,130.63,24.93,5.36,0.03,14.47
2023,5,6,12,132.45,25.62,5.22,0.04,14.53
2023,5,6,13,134.44,25.87,5.13,0.03,14.59
2023,5,6,14,134.44,25.81,5.08,0.04,14.59
2023,5,6,15,134.32,25.18,5.14,0.02,14.59
2023,5,6,16,135.18,23.83,5.26,0.03,15.08
2023,5,6,17,135.0,21.32,5.78,0.03,15.32
2023,5,6,18,133.45,20.28,6.53,0.03,14.77
2023,5,6,19,132.1,19.79,6.98,0.06,14.65
2023,5,6,20,131.73,19.33,7.08,0.11,14.71
2023,5,6,21,132.18,18.94,6.85,0.17,14.83
2023,5,6,22,132.27,18.55,6.5,0.26,14.89
2023,5,6,23,133.56,18.36,6.16,0.47,14.83
2023,5,7,0,135.0,18.18,6.0,0.46,14.65
2023,5,7,1,135.95,17.97,5.65,0.43,14.47
2023,5,7,2,134.82,17.71,5.39,0.32,14.28
2023,5,7,3,133.97,17.38,4.91,0.27,14.04
2023,5,7,4,133.1,17.07,4.67,0.2,13.85
2023,5,7,5,130.63,16.94,4.5,0.19,13.67
2023,5,7,6,128.17,18.16,4.74,0.2,14.22
2023,5,7,7,129.54,19.33,5.46,0.33,14.59
2023,5,7,8,129.8,21.05,5.72,0.37,14.71
2023,5,7,9,129.62,22.96,5.83,0.39,14.83
2023,5,7,10,129.79,24.47,5.84,0.37,15.01
2023,5,7,11,130.21,25.51,5.69,0.32,15.2
2023,5,7,12,131.64,25.97,5.56,0.25,15.26
2023,5,7,13,133.62,26.18,5.51,0.24,15.2
2023,5,7,14,136.37,25.91,5.54,0.18,15.08
2023,5,7,15,137.95,25.22,5.69,0.13,15.01
2023,5,7,16,138.83,23.85,5.87,0.06,15.38
2023,5,7,17,138.42,21.44,6.38,0.09,15.44
2023,5,7,18,136.35,20.39,7.04,0.15,15.08
2023,5,7,19,135.04,19.92,7.22,0.21,15.01
2023,5,7,20,135.04,19.54,7.04,0.34,15.14
2023,5,7,21,136.03,19.1,6.75,0.56,15.2
2023,5,7,22,137.33,18.84,6.66,0.79,15.14
2023,5,7,23,139.48,18.58,6.65,0.86,14.89
2023,5,8,0,140.59,18.26,6.52,0.86,14.65
2023,5,8,1,139.58,17.91,6.01,0.65,14.34
2023,5,8,2,138.45,17.61,5.88,0.45,14.04
2023,5,8,3,138.77,17.38,5.71,0.36,13.85
2023,5,8,4,139.46,17.23,5.32,0.37,13.79
2023,5,8,5,138.78,17.19,5.61,0.4,13.73
2023,5,8,6,139.63,18.01,5.81,0.37,14.16
2023,5,8,7,139.65,18.98,7.22,0.37,14.28
2023,5,8,8,138.27,20.5,7.37,0.49,14.22
2023,5,8,9,135.18,22.32,7.06,0.5,14.22
2023,5,8,10,132.27,23.64,6.62,0.4,14.4
2023,5,8,11,129.92,24.65,6.11,0.42,14.59
2023,5,8,12,128.13,25.32,5.68,0.37,14.77
2023,5,8,13,127.75,25.48,5.47,0.29,14.77
2023,5,8,14,128.65,25.33,5.39,0.21,14.77
2023,5,8,15,131.86,24.55,5.44,0.11,14.77
2023,5,8,16,136.7,23.34,5.57,0.08,15.08
2023,5,8,17,139.93,21.08,6.1,0.15,15.2
2023,5,8,18,138.0,20.19,6.97,0.26,14.83
2023,5,8,19,134.49,19.83,7.4,0.38,14.77
2023,5,8,20,132.29,19.4,7.35,0.55,14.95
2023,5,8,21,133.13,19.03,7.11,0.83,15.08
2023,5,8,22,134.5,18.68,6.28,1.12,14.89
2023,5,8,23,136.4,18.33,6.08,1.14,14.65
2023,5,9,0,136.5,18.04,5.89,1.09,14.4
2023,5,9,1,136.84,17.82,5.68,0.97,14.28
2023,5,9,2,137.49,17.77,5.85,0.89,14.22
2023,5,9,3,139.02,17.71,6.15,0.83,14.22
2023,5,9,4,138.18,17.73,7.36,0.65,14.16
2023,5,9,5,136.55,17.63,7.77,0.52,14.04
2023,5,9,6,135.97,17.97,7.54,0.47,14.16
2023,5,9,7,135.28,18.73,8.89,0.41,14.16
2023,5,9,8,134.82,20.21,9.04,0.42,14.1
2023,5,9,9,133.25,21.87,8.52,0.39,13.98
2023,5,9,10,132.05,23.28,7.95,0.34,14.1
2023,5,9,11,131.94,24.1,7.45,0.25,14.28
2023,5,9,12,132.48,24.62,7.15,0.16,14.34
2023,5,9,13,132.85,24.7,7.05,0.17,14.28
2023,5,9,14,133.11,24.54,7.05,0.16,14.34
2023,5,9,15,134.2,23.95,7.12,0.12,14.34
2023,5,9,16,136.0,22.79,6.95,0.06,14.59
2023,5,9,17,138.0,20.67,7.08,0.11,14.59
2023,5,9,18,138.14,19.89,7.35,0.14,14.34
2023,5,9,19,136.66,19.42,7.24,0.14,14.28
2023,5,9,20,134.95,18.93,6.67,0.24,14.4
2023,5,9,21,134.05,18.51,6.35,0.31,14.47
2023,5,9,22,133.81,18.23,6.11,0.38,14.47
2023,5,9,23,132.43,17.98,5.8,0.5,14.28
2023,5,10,0,128.99,17.76,5.49,0.54,14.16
2023,5,10,1,126.42,17.61,5.41,0.53,14.1
2023,5,10,2,124.67,17.6,5.55,0.62,14.04
2023,5,10,3,125.33,17.5,5.82,0.7,13.98
2023,5,10,4,127.28,17.49,6.05,0.72,13.92
2023,5,10,5,127.41,17.38,6.15,0.6,13.79
2023,5,10,6,128.33,17.66,6.85,0.3,13.85
2023,5,10,7,130.33,18.3,8.14,0.21,13.85
2023,5,10,8,131.9,19.71,8.48,0.14,13.73
2023,5,10,9,131.74,21.48,8.26,0.06,13.49
2023,5,10,10,130.83,22.84,7.53,0.03,13.55
2023,5,10,11,130.71,23.94,6.95,0.02,13.67
2023,5,10,12,131.94,24.58,6.73,0.02,13.85
2023,5,10,13,133.47,24.88,6.63,0.03,13.92
2023,5,10,14,134.66,24.7,6.56,0.02,13.98
2023,5,10,15,135.34,24.14,6.61,0.01,13.92
2023,5,10,16,136.8,22.78,6.51,0.0,14.16
2023,5,10,17,138.62,20.44,6.82,0.01,14.22
2023,5,10,18,138.51,19.36,7.49,0.0,13.79
2023,5,10,19,137.97,18.87,7.36,0.0,13.67
2023,5,10,20,137.13,18.41,7.27,0.0,13.67
2023,5,10,21,137.27,17.78,6.4,0.0,13.73
2023,5,10,22,136.66,17.37,5.9,0.04,13.79
2023,5,10,23,137.55,17.27,5.58,0.17,13.79
2023,5,11,0,137.48,17.16,5.48,0.24,13.73
2023,5,11,1,136.06,17.0,5.69,0.22,13.61
2023,5,11,2,134.11,16.75,5.32,0.26,13.43
2023,5,11,3,130.76,16.54,4.86,0.31,13.37
2023,5,11,4,126.96,16.4,4.82,0.38,13.24
2023,5,11,5,125.91,16.43,5.14,0.39,13.24
2023,5,11,6,128.31,17.66,6.02,0.28,13.73
2023,5,11,7,130.6,18.67,7.2,0.27,13.85
2023,5,11,8,131.38,20.48,7.52,0.2,13.67
2023,5,11,9,131.82,22.15,7.57,0.2,13.49
2023,5,11,10,132.25,23.4,7.38,0.18,13.67
2023,5,11,11,132.52,24.22,7.02,0.15,13.79
2023,5,11,12,132.7,24.83,6.75,0.14,13.98
2023,5,11,13,132.87,24.92,6.68,0.1,13.98
2023,5,11,14,132.77,24.86,6.66,0.07,14.04
2023,5,11,15,133.3,24.21,6.71,0.04,14.1
2023,5,11,16,134.86,22.89,6.68,0.03,14.47
2023,5,11,17,136.68,20.65,7.14,0.04,14.47
2023,5,11,18,136.84,19.8,7.73,0.06,14.16
2023,5,11,19,137.7,19.3,7.73,0.05,14.1
2023,5,11,20,139.24,18.7,6.8,0.04,14.1
2023,5,11,21,139.61,18.1,5.77,0.02,14.04
2023,5,11,22,138.0,17.61,5.38,0.01,13.92
2023,5,11,23,134.59,17.34,5.42,0.03,13.85
2023,5,12,0,132.57,17.07,4.69,0.07,13.79
2023,5,12,1,131.86,16.87,4.33,0.09,13.67
2023,5,12,2,128.51,16.66,4.15,0.09,13.55
2023,5,12,3,123.43,16.52,4.3,0.09,13.43
2023,5,12,4,119.72,16.4,4.51,0.09,13.37
2023,5,12,5,118.04,16.39,4.89,0.11,13.24
2023,5,12,6,120.76,17.55,5.01,0.09,13.61
2023,5,12,7,125.11,18.57,5.08,0.02,13.67
2023,5,12,8,126.55,20.69,5.34,0.0,12.94
2023,5,12,9,125.98,22.73,5.64,0.0,12.21
2023,5,12,10,124.65,24.12,5.81,0.0,12.02
2023,5,12,11,124.16,25.17,5.87,0.0,12.08
2023,5,12,12,124.52,25.93,5.86,0.0,12.15
2023,5,12,13,125.36,26.25,5.81,0.0,12.39
2023,5,12,14,125.58,26.23,5.84,0.0,12.82
2023,5,12,15,127.54,25.81,6.0,0.0,13.24
2023,5,12,16,132.62,24.27,6.12,0.0,14.59
2023,5,12,17,136.31,21.42,7.03,0.01,14.77
2023,5,12,18,134.96,20.75,7.93,0.11,14.77
2023,5,12,19,132.75,20.15,7.73,0.18,15.08
2023,5,12,20,130.45,19.63,7.31,0.28,15.26
2023,5,12,21,128.54,19.21,6.92,0.41,15.32
2023,5,12,22,128.24,18.94,6.66,0.57,15.2
2023,5,12,23,129.55,18.75,6.39,0.69,15.08
2023,5,13,0,130.18,18.51,6.04,0.53,14.89
2023,5,13,1,128.25,18.26,5.5,0.45,14.71
2023,5,13,2,125.01,17.96,5.28,0.29,14.47
2023,5,13,3,121.33,17.66,4.79,0.26,14.22
2023,5,13,4,117.65,17.39,4.43,0.26,14.04
2023,5,13,5,116.03,17.31,4.45,0.26,13.98
2023,5,13,6,117.71,18.51,4.89,0.26,14.59
2023,5,13,7,120.45,19.5,6.24,0.26,14.83
2023,5,13,8,120.85,21.1,6.55,0.35,14.89
2023,5,13,9,122.0,22.86,6.61,0.3,14.89
2023,5,13,10,124.27,24.06,6.62,0.26,14.95
2023,5,13,11,127.21,24.92,6.56,0.25,15.01
2023,5,13,12,129.34,25.47,6.5,0.17,15.08
2023,5,13,13,130.49,25.7,6.39,0.1,15.01
2023,5,13,14,132.01,25.67,6.36,0.05,14.89
2023,5,13,15,133.73,25.07,6.49,0.03,14.83
2023,5,13,16,135.19,23.77,6.5,0.02,15.2
2023,5,13,17,136.25,21.36,6.86,0.04,15.26
2023,5,13,18,135.77,20.4,7.38,0.04,14.89
2023,5,13,19,136.1,19.83,7.18,0.04,14.77
2023,5,13,20,137.15,19.25,6.47,0.04,14.71
2023,5,13,21,137.41,18.69,5.91,0.03,14.59
2023,5,13,22,136.64,18.23,5.4,0.04,14.47
2023,5,13,23,136.02,18.04,4.95,0.09,14.34
2023,5,14,0,134.6,17.86,4.71,0.13,14.22
2023,5,14,1,135.42,17.67,4.54,0.14,14.04
2023,5,14,2,134.0,17.51,4.43,0.12,13.92
2023,5,14,3,131.34,17.21,4.33,0.11,13.79
2023,5,14,4,129.03,16.78,4.14,0.09,13.55
2023,5,14,5,127.51,16.59,3.94,0.1,13.37
2023,5,14,6,130.29,17.97,4.37,0.1,13.98
2023,5,14,7,133.7,19.35,5.36,0.07,14.16
2023,5,14,8,134.62,21.3,5.8,0.02,13.92
2023,5,14,9,133.75,23.03,5.83,0.01,13.67
2023,5,14,10,132.09,24.41,5.77,0.0,13.67
2023,5,14,11,130.85,25.34,5.72,0.0,13.61
2023,5,14,12,129.28,25.82,5.71,0.0,13.37
2023,5,14,13,128.3,25.94,5.77,0.0,13.12
2023,5,14,14,127.97,25.69,5.96,0.0,12.82
2023,5,14,15,128.33,24.98,6.23,0.0,12.51
2023,5,14,16,129.28,23.3,6.43,0.0,12.88
2023,5,14,17,128.08,20.11,7.02,0.0,12.82
2023,5,14,18,124.95,18.76,7.41,0.0,12.08
2023,5,14,19,122.65,18.22,7.02,0.0,11.96
2023,5,14,20,121.12,17.85,5.94,0.0,12.15
2023,5,14,21,120.55,17.51,4.98,0.0,12.45
2023,5,14,22,121.24,17.17,4.41,0.0,12.63
2023,5,14,23,122.05,16.85,3.95,0.0,12.82
2023,5,15,0,123.38,16.65,3.59,0.0,13.0
2023,5,15,1,124.75,16.7,3.39,0.03,13.37
2023,5,15,2,125.73,16.4,3.29,0.05,13.49
2023,5,15,3,128.18,16.17,3.35,0.07,13.43
2023,5,15,4,128.47,16.0,3.4,0.08,13.37
2023,5,15,5,128.46,15.98,3.54,0.1,13.24
2023,5,15,6,132.27,17.97,3.82,0.09,13.98
2023,5,15,7,133.31,19.36,4.5,0.03,14.16
2023,5,15,8,131.65,21.11,4.82,0.0,13.92
2023,5,15,9,130.41,22.89,4.97,0.0,13.67
2023,5,15,10,130.59,24.43,5.03,0.0,13.67
2023,5,15,11,132.32,25.64,4.97,0.0,13.85
2023,5,15,12,135.2,26.28,4.87,0.0,13.92
2023,5,15,13,137.52,26.52,4.78,0.0,13.92
2023,5,15,14,138.3,26.32,4.79,0.01,13.92
2023,5,15,15,138.17,25.7,4.9,0.0,13.98
2023,5,15,16,138.48,24.32,5.09,0.0,14.59
2023,5,15,17,139.69,21.57,5.68,0.0,14.89
2023,5,15,18,138.55,20.38,6.69,0.0,14.1
2023,5,15,19,136.81,19.67,7.17,0.0,13.79
2023,5,15,20,133.24,18.97,7.01,0.0,13.67
2023,5,15,21,128.47,18.3,6.66,0.0,13.61
2023,5,15,22,124.94,17.65,6.23,0.0,13.61
2023,5,15,23,123.64,16.86,5.3,0.03,13.67
2023,5,16,0,124.29,16.88,4.78,0.12,13.79
2023,5,16,1,125.83,16.88,4.64,0.14,13.79
2023,5,16,2,127.84,16.83,4.79,0.14,13.73
2023,5,16,3,127.17,16.69,4.78,0.13,13.61
2023,5,16,4,125.43,16.51,4.65,0.13,13.43
2023,5,16,5,124.51,16.41,4.7,0.13,13.24
2023,5,16,6,126.19,17.65,4.87,0.12,13.73
2023,5,16,7,130.24,18.98,5.53,0.04,13.98
2023,5,16,8,131.95,21.05,5.81,0.0,13.61
2023,5,16,9,132.02,23.12,5.84,0.0,13.12
2023,5,16,10,131.79,24.68,5.62,0.0,13.06
2023,5,16,11,132.51,25.72,5.34,0.0,13.12
2023,5,16,12,133.38,26.39,5.1,0.0,13.24
2023,5,16,13,133.89,26.58,4.86,0.0,13.31
2023,5,16,14,135.13,26.3,4.76,0.0,13.37
2023,5,16,15,135.91,25.81,4.88,0.0,13.49
2023,5,16,16,136.89,24.37,5.19,0.0,14.34
2023,5,16,17,136.91,21.51,5.8,0.0,14.65
2023,5,16,18,133.22,20.41,6.94,0.0,13.98
2023,5,16,19,130.79,19.93,7.75,0.0,13.79
2023,5,16,20,130.31,19.42,7.78,0.01,13.79
2023,5,16,21,129.53,18.95,7.48,0.02,13.98
2023,5,16,22,129.25,18.45,6.62,0.02,14.16
2023,5,16,23,131.72,17.88,5.41,0.11,14.28
2023,5,17,0,132.75,17.77,5.63,0.23,14.28
2023,5,17,1,135.06,17.71,5.54,0.26,14.28
2023,5,17,2,136.35,17.58,5.41,0.26,14.22
2023,5,17,3,135.71,17.38,5.35,0.2,14.04
2023,5,17,4,132.88,17.15,5.22,0.17,13.85
2023,5,17,5,128.97,16.97,4.94,0.15,13.73
2023,5,17,6,126.49,18.15,4.74,0.15,14.22
2023,5,17,7,128.92,19.52,5.37,0.09,14.53
2023,5,17,8,130.6,21.44,5.55,0.03,14.4
2023,5,17,9,131.31,23.36,5.59,0.0,14.1
2023,5,17,10,132.18,24.87,5.61,0.0,13.98
2023,5,17,11,134.54,25.9,5.52,0.0,13.79
2023,5,17,12,136.93,26.57,5.4,0.0,13.67
2023,5,17,13,138.54,26.83,5.29,0.0,13.55
2023,5,17,14,139.36,26.59,5.16,0.0,13.43
2023,5,17,15,139.28,25.87,5.11,0.0,13.43
2023,5,17,16,139.18,24.28,5.23,0.0,14.34
2023,5,17,17,137.36,21.84,5.78,0.0,14.53
2023,5,17,18,133.2,20.86,6.85,0.0,13.79
2023,5,17,19,130.05,20.12,7.55,0.0,13.43
2023,5,17,20,128.51,19.52,7.48,0.0,13.49
2023,5,17,21,126.22,18.98,6.84,0.0,13.92
2023,5,17,22,124.68,18.57,6.51,0.0,14.28
2023,5,17,23,122.42,18.53,6.54,0.07,14.47
2023,5,18,0,122.37,18.21,5.46,0.17,14.53
2023,5,18,1,123.42,17.87,4.98,0.21,14.47
2023,5,18,2,122.44,17.58,4.78,0.2,14.28
2023,5,18,3,119.67,17.3,4.51,0.19,14.04
2023,5,18,4,116.28,17.01,4.23,0.17,13.85
2023,5,18,5,114.52,16.84,4.01,0.17,13.67
2023,5,18,6,117.96,18.17,4.15,0.16,14.22
2023,5,18,7,122.72,19.23,4.73,0.14,14.4
2023,5,18,8,124.61,21.13,5.12,0.1,14.59
2023,5,18,9,124.59,23.09,5.26,0.04,14.59
2023,5,18,10,123.9,24.62,5.37,0.03,14.71
2023,5,18,11,124.23,25.68,5.47,0.03,14.83
2023,5,18,12,125.46,26.4,5.53,0.05,14.83
2023,5,18,13,127.05,26.61,5.55,0.04,14.83
2023,5,18,14,128.06,26.47,5.58,0.03,14.71
2023,5,18,15,129.8,25.87,5.72,0.01,14.65
2023,5,18,16,134.03,24.51,5.85,0.0,15.08
2023,5,18,17,137.16,21.58,6.43,0.0,15.01
2023,5,18,18,136.21,20.54,7.35,0.0,14.34
2023,5,18,19,134.38,20.01,7.67,0.0,14.16
2023,5,18,20,131.59,19.49,7.53,0.01,14.16
2023,5,18,21,126.92,18.98,6.96,0.01,14.34
2023,5,18,22,123.14,18.33,6.07,0.03,14.4
2023,5,18,23,121.36,18.01,5.27,0.14,14.4
2023,5,19,0,121.25,17.73,4.83,0.18,14.28
2023,5,19,1,120.9,17.44,4.58,0.17,14.16
2023,5,19,2,118.36,17.12,4.36,0.15,13.98
2023,5,19,3,115.16,16.89,4.26,0.14,13.79
2023,5,19,4,112.77,16.71,4.22,0.14,13.61
2023,5,19,5,111.72,16.56,4.22,0.15,13.49
2023,5,19,6,115.4,17.87,4.3,0.14,13.98
2023,5,19,7,121.79,18.84,5.03,0.09,13.98
2023,5,19,8,123.57,20.7,5.21,0.01,13.92
2023,5,19,9,124.2,22.69,5.34,0.0,13.24
2023,5,19,10,125.33,24.04,5.36,0.0,12.82
2023,5,19,11,127.14,25.01,5.37,0.0,12.45
2023,5,19,12,128.34,25.85,5.43,0.0,12.21
2023,5,19,13,130.03,26.31,5.42,0.0,11.9
2023,5,19,14,131.02,26.18,5.42,0.0,11.78
2023,5,19,15,131.65,25.66,5.4,0.0,11.66
2023,5,19,16,132.37,23.89,5.3,0.0,13.0
2023,5,19,17,131.78,20.24,5.6,0.0,13.0
2023,5,19,18,128.61,18.81,6.55,0.0,12.02
2023,5,19,19,125.96,18.08,7.32,0.0,11.78
2023,5,19,20,125.31,17.34,7.38,0.0,11.78
2023,5,19,21,124.12,16.67,6.88,0.0,11.96
2023,5,19,22,121.95,15.9,5.55,0.0,12.02
2023,5,19,23,120.88,15.26,4.69,0.0,12.15
2023,5,20,0,121.15,14.72,4.06,0.0,12.27
